,customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Segment_Code,RFM_Kmeans_Clusters,Kmeans_Cluster_Name
52,7370,32,53.837059799980544,2175.791817871931,3,4,4,11,loyal_customer,3,6,Promissing
53,7493,8,34.63475594485867,1656.1306810283136,4,4,4,12,champion,1,6,Promissing
54,7691,200,13.909585403715653,145.1985452966882,1,3,2,6,need_attention,4,4,Need Attention
55,7796,11,26.463578751118096,732.049728429101,4,4,3,11,loyal_customer,3,6,Promissing
56,8228,123,1.918494191587945,10.060747850042077,2,1,1,4,hibernating,2,1,At-Risk Customers
57,8375,20,18.71587417426439,609.043042479337,3,3,3,9,promising,5,6,Promissing
58,8427,80,9.357758579051842,131.02186031678778,2,3,2,7,need_attention,4,1,At-Risk Customers
59,8574,7,119.28506037294927,3416.596144199752,4,4,4,12,champion,1,6,Promissing
60,8896,27,25.417829412688423,791.8740309575248,3,4,3,10,loyal_customer,3,6,Promissing
61,9584,0,9.565291506386487,73.84372034037175,4,3,2,9,promising,5,6,Promissing
62,9868,32,26.584382965586336,476.5445885593112,3,4,3,10,loyal_customer,3,6,Promissing
63,9986,23,36.04486271663697,749.4885689643913,3,4,3,10,loyal_customer,3,6,Promissing
64,9993,0,409.22366736287216,13639.968644624698,4,4,4,12,champion,1,5,Promissing
65,10221,31,48.98793836822511,597.1293560037733,3,4,3,10,loyal_customer,3,6,Promissing
66,10485,2,11.543791309781543,2232.6144056986072,4,3,4,11,loyal_customer,3,6,Promissing
67,10491,234,1.8676351719061186,33.084026919238795,1,1,1,3,almost_lost,0,4,Need Attention
68,10673,0,100.72796806345478,5716.450101918974,4,4,4,12,champion,1,6,Promissing
69,11081,31,9.499104911067294,2816.5158386478915,3,3,4,10,loyal_customer,3,6,Promissing
70,11097,0,114.4328724419012,1714.1528757521214,4,4,4,12,champion,1,6,Promissing
71,11172,62,5.77772957546248,4.309029819681969,3,2,1,6,need_attention,4,1,At-Risk Customers
72,11248,213,5.548001319633771,40.633844803474794,1,2,1,4,hibernating,2,4,Need Attention
73,11519,60,4.720636740112547,55.620248311465765,3,2,1,6,need_attention,4,1,At-Risk Customers
74,11556,9,3.8211161608168847,48.841936033320856,4,1,1,6,need_attention,4,6,Promissing
75,11611,32,12.531149966916983,190.67290379748792,3,3,2,8,promising,5,6,Promissing
76,11951,233,0.9381674077755716,9.641167563510567,1,1,1,3,almost_lost,0,4,Need Attention
77,12358,0,84.78909841161982,2443.7485526319306,4,4,4,12,champion,1,6,Promissing
78,12993,0,219.72214185636565,5018.277061846746,4,4,4,12,champion,1,5,Promissing
79,13001,65,2.889781778824317,115.18546955130333,3,1,2,6,need_attention,4,1,At-Risk Customers
80,13317,6,65.43262678402841,1861.5049493503673,4,4,4,12,champion,1,6,Promissing
81,13422,177,4.649901931476459,34.50121217399088,2,2,1,5,hibernating,2,4,Need Attention
82,13436,231,1.8552565679189938,7.758785162344399,1,1,1,3,almost_lost,0,4,Need Attention
83,13846,234,2.777348738573761,86.72696597578185,1,1,2,4,hibernating,2,4,Need Attention
84,13852,0,46.96566954197883,894.5154688296224,4,4,3,11,loyal_customer,3,6,Promissing
85,13990,8,12.550411556047385,303.3995579022985,4,3,3,10,loyal_customer,3,6,Promissing
86,14235,196,10.202527124070308,588.2450329184763,1,3,3,7,need_attention,4,4,Need Attention
87,14536,81,9.576004655797155,64.44897162386107,2,3,2,7,need_attention,4,1,At-Risk Customers
88,14932,0,33.28820015150504,1615.3292651854197,4,4,4,12,champion,1,6,Promissing
89,15112,135,2.8810955268145664,53.058496901973484,2,1,1,4,hibernating,2,1,At-Risk Customers
90,15250,103,9.509775947839042,484.28203843175595,2,3,3,8,promising,5,1,At-Risk Customers
91,15419,16,51.37949026592894,922.3911993919008,3,4,3,10,loyal_customer,3,6,Promissing
92,15438,79,9.542437794544409,291.35060322834534,2,3,3,8,promising,5,1,At-Risk Customers
93,15513,6,4.7298281140637775,23.000614714897754,4,2,1,7,need_attention,4,6,Promissing
94,15543,11,75.99474226764988,2479.260851617305,4,4,4,12,champion,1,6,Promissing
95,15619,216,2.792368193849742,40.60292215870431,1,1,1,3,almost_lost,0,4,Need Attention
96,15718,0,135.2236615267498,4824.333123211112,4,4,4,12,champion,1,6,Promissing
97,16008,0,208.0783595921689,6635.930554850468,4,4,4,12,champion,1,5,Promissing
98,16279,0,32.44944467723337,1701.7426314963834,4,4,4,12,champion,1,6,Promissing
99,16614,203,9.25358950131476,272.6612997195369,1,2,3,6,need_attention,4,4,Need Attention
100,16826,12,6.5179961848982915,686.0398152292751,4,2,3,9,promising,5,6,Promissing
101,17197,4,220.56281003103823,10588.978348111437,4,4,4,12,champion,1,5,Promissing
102,17210,0,21.390086732434586,461.3138106343786,4,4,3,11,loyal_customer,3,6,Promissing
103,17307,32,12.278711623453013,1658.5427128340853,3,3,4,10,loyal_customer,3,6,Promissing
104,17314,71,5.765687892737135,165.21361142143024,2,2,2,6,need_attention,4,1,At-Risk Customers
105,17328,44,13.396103581588164,1127.963914946769,3,3,4,10,loyal_customer,3,6,Promissing
106,17402,0,52.75115745755226,2505.8252165749004,4,4,4,12,champion,1,6,Promissing
107,17458,194,9.290219582747405,210.9709306060856,2,2,2,6,need_attention,4,4,Need Attention
108,17480,0,22.530413591633675,2037.0079603675802,4,4,4,12,champion,1,6,Promissing
109,17506,1,117.47959495575329,4834.791050673313,4,4,4,12,champion,1,6,Promissing
110,17510,1,313.9393979892338,15171.629590949196,4,4,4,12,champion,1,5,Promissing
111,17536,92,6.560689698375343,53.251260613708816,2,2,1,5,hibernating,2,1,At-Risk Customers
112,17575,80,7.668645528165649,291.33318395078203,2,2,3,7,need_attention,4,1,At-Risk Customers
113,17603,65,19.813617330064915,1798.2851238388748,3,3,4,10,loyal_customer,3,1,At-Risk Customers
114,17608,4,58.13894838772513,1901.1837670413936,4,4,4,12,champion,1,6,Promissing
115,17624,343,0.9103194189808375,283.2009104322575,1,1,3,5,hibernating,2,0,Hibernating
116,17908,201,4.654404207975651,1260.3784292561445,1,2,4,7,need_attention,4,4,Need Attention
117,17958,0,145.224683884502,4697.01612302452,4,4,4,12,champion,1,6,Promissing
118,18043,39,15.057318979115193,2483.1142759026156,3,3,4,10,loyal_customer,3,6,Promissing
119,18244,37,51.85792514031838,2997.736670620213,3,4,4,11,loyal_customer,3,6,Promissing
120,18357,19,6.571972797297718,459.1523186911688,3,2,3,8,promising,5,6,Promissing
121,18481,193,5.601328804740939,126.15752076682827,2,2,2,6,need_attention,4,4,Need Attention
122,18520,54,3.810776464255844,50.83935828473911,3,1,1,5,hibernating,2,1,At-Risk Customers
123,18534,192,9.278921712178855,102.55762543030096,2,2,2,6,need_attention,4,4,Need Attention
124,18689,192,2.7932996483921566,186.69142945090022,2,1,2,5,hibernating,2,4,Need Attention
125,18839,10,234.81204328203486,15951.095741736179,4,4,4,12,champion,1,5,Promissing
126,18935,212,1.8707612659816832,2.10365828982882,1,1,1,3,almost_lost,0,4,Need Attention
127,18997,23,36.762631201713525,2339.976238488993,3,4,4,11,loyal_customer,3,6,Promissing
128,19165,6,39.89129225382095,3055.1445788483456,4,4,4,12,champion,1,6,Promissing
129,19215,36,21.721219716605706,687.0307392624678,3,4,3,10,loyal_customer,3,6,Promissing
130,19264,25,14.409628314584952,394.76834675651827,3,3,3,9,promising,5,6,Promissing
131,19329,20,19.4685209794569,637.1653644006537,3,3,3,9,promising,5,6,Promissing
132,19344,185,17.507087121152296,173.67157384674866,2,3,2,7,need_attention,4,4,Need Attention
133,19483,11,23.41908980448955,581.1742127283812,4,4,3,11,loyal_customer,3,6,Promissing
134,19602,0,105.19853141484775,2420.063191216779,4,4,4,12,champion,1,6,Promissing
135,19755,253,0.9330415229838394,6.537607442477963,1,1,1,3,almost_lost,0,0,Hibernating
136,19778,2,46.72350812353385,1748.1426160122496,4,4,4,12,champion,1,6,Promissing
137,19928,1,74.73928840551532,4762.621181967206,4,4,4,12,champion,1,6,Promissing
138,20095,3,28.28180704146803,362.5605739333146,4,4,3,11,loyal_customer,3,6,Promissing
139,20128,0,283.8688284089885,11494.327204636782,4,4,4,12,champion,1,5,Promissing
140,20170,35,19.0461660800925,2734.135138206377,3,3,4,10,loyal_customer,3,6,Promissing
141,20176,0,25.064243615452465,339.419094805124,4,4,3,11,loyal_customer,3,6,Promissing
142,20186,79,7.548031329560473,54.80943140250882,2,2,1,5,hibernating,2,1,At-Risk Customers
143,20215,0,31.276076557196372,1739.6149692048946,4,4,4,12,champion,1,6,Promissing
144,20234,28,31.794365539651835,520.6739645173986,3,4,3,10,loyal_customer,3,6,Promissing
145,20239,0,240.23442228232258,6686.202127843797,4,4,4,12,champion,1,5,Promissing
146,20292,32,12.41241540565537,164.06484343894064,3,3,2,8,promising,5,6,Promissing
147,20351,6,32.822977943616316,3916.813336752499,4,4,4,12,champion,1,6,Promissing
148,20389,32,50.052735141358205,1512.2704479733404,3,4,4,11,loyal_customer,3,6,Promissing
149,20596,329,0.9138172798749039,9.72388232778152,1,1,1,3,almost_lost,0,0,Hibernating
150,20686,0,40.56041138533661,2528.0349392365843,4,4,4,12,champion,1,6,Promissing
151,20741,11,29.213383170373973,272.21972569367443,4,4,3,11,loyal_customer,3,6,Promissing
152,20795,32,60.77856711672628,1484.452884436907,3,4,4,11,loyal_customer,3,6,Promissing
153,20971,234,1.8689094654600693,18.306650194445215,1,1,1,3,almost_lost,0,4,Need Attention
154,21349,0,61.75312906871724,1881.2371855136494,4,4,4,12,champion,1,6,Promissing
155,21383,186,6.515833243915501,1196.7807223349996,2,2,4,8,promising,5,4,Need Attention
156,21435,0,102.61078989419718,4183.091154718595,4,4,4,12,champion,1,6,Promissing
157,21439,20,12.562278211799718,137.57806167007706,3,3,2,8,promising,5,6,Promissing
158,21574,9,8.717553622821445,8552.57436727914,4,2,4,10,loyal_customer,3,6,Promissing
159,21700,80,7.6447565192687374,114.9601231940854,2,2,2,6,need_attention,4,1,At-Risk Customers
160,21734,0,180.85214257048628,8047.660088656056,4,4,4,12,champion,1,5,Promissing
161,21768,48,21.436204363310427,185.3731424366169,3,4,2,9,promising,5,1,At-Risk Customers
162,21807,122,9.432631664338512,646.1437716893163,2,3,3,8,promising,5,1,At-Risk Customers
163,21999,72,5.777729810033327,153.39027182757917,2,2,2,6,need_attention,4,1,At-Risk Customers
164,22201,1,247.77315453747747,10378.637388127634,4,4,4,12,champion,1,5,Promissing
165,22544,0,263.9159893162008,11034.2135807209,4,4,4,12,champion,1,5,Promissing
166,22566,31,12.535402310405113,400.01682012767384,3,3,3,9,promising,5,6,Promissing
167,22660,7,16.45885474319706,471.22725529664115,4,3,3,10,loyal_customer,3,6,Promissing
168,22680,83,7.583238319291607,251.37111199506452,2,2,3,7,need_attention,4,1,At-Risk Customers
169,22689,212,0.9435798970616087,1.1459842171850454,1,1,1,3,almost_lost,0,4,Need Attention
170,22698,3,54.471615944369745,2444.419156125607,4,4,4,12,champion,1,6,Promissing
171,22762,0,231.14920228889426,10003.745181473634,4,4,4,12,champion,1,5,Promissing
172,22936,19,37.34279962449959,205.81675006968382,3,4,2,9,promising,5,6,Promissing
173,22980,16,50.58567330726532,2447.685739306227,3,4,4,11,loyal_customer,3,6,Promissing
174,22990,186,4.6951466658228815,398.03419935288565,2,2,3,7,need_attention,4,4,Need Attention
175,23336,0,961.6988947537487,49234.34098987103,4,4,4,12,champion,1,2,Loyal Customers
176,23545,29,32.404362746162505,1904.2219587899415,3,4,4,11,loyal_customer,3,6,Promissing
177,23554,1,203.56129314406417,16055.638548636814,4,4,4,12,champion,1,5,Promissing
178,23564,4,133.03296226525754,4542.4207631148965,4,4,4,12,champion,1,6,Promissing
179,23578,82,7.507355359043229,156.5538016378274,2,2,2,6,need_attention,4,1,At-Risk Customers
180,23671,23,6.600707935450555,147.5930963748341,3,2,2,7,need_attention,4,6,Promissing
181,23728,32,30.51381965633854,267.45549886536014,3,4,3,10,loyal_customer,3,6,Promissing
182,23872,4,15.48755996631558,122.43072257307828,4,3,2,9,promising,5,6,Promissing
183,23960,6,29.53301542859386,339.07122938385055,4,4,3,11,loyal_customer,3,6,Promissing
184,24206,6,90.42607723880802,4047.0372223346985,4,4,4,12,champion,1,6,Promissing
185,24231,267,0.9294700765605106,0.5731073161858915,1,1,1,3,almost_lost,0,0,Hibernating
186,24236,49,24.12657566099044,1773.2452687112823,3,4,4,11,loyal_customer,3,6,Promissing
187,24514,0,17.303154788899796,142.24093788484933,4,3,2,9,promising,5,6,Promissing
188,24528,196,17.628416652069703,991.0927816187306,1,3,4,8,promising,5,4,Need Attention
189,24703,19,46.07913567998274,2407.9012871688724,3,4,4,11,loyal_customer,3,6,Promissing
190,24812,9,16.864530182642554,432.48274164972537,4,3,3,10,loyal_customer,3,6,Promissing
191,24817,198,24.04982648351079,1052.935991899914,1,4,4,9,promising,5,4,Need Attention
192,24872,283,3.6819341479576417,66.98280096063183,1,1,2,4,hibernating,2,0,Hibernating
193,24962,38,17.996518659044266,797.574126106554,3,3,3,9,promising,5,6,Promissing
194,25255,33,51.276510840646914,1036.3339506196294,3,4,4,11,loyal_customer,3,6,Promissing
195,25273,46,15.089691976507062,894.3678517514979,3,3,3,9,promising,5,6,Promissing
196,25290,32,2.825687379667501,42.790030274775894,3,1,1,5,hibernating,2,6,Promissing
197,25391,101,1.9160332482457996,7.039709530283129,2,1,1,4,hibernating,2,1,At-Risk Customers
198,25438,0,217.70168758438524,7211.647526368122,4,4,4,12,champion,1,5,Promissing
199,25472,18,209.69143993934654,10432.017244788178,3,4,4,11,loyal_customer,3,5,Promissing
200,25539,19,29.564909598741185,1135.7996348497547,3,4,4,11,loyal_customer,3,6,Promissing
201,25779,4,21.76951234104568,182.64004321827485,4,4,2,10,loyal_customer,3,6,Promissing
202,25891,6,28.51712989714863,667.4325022387777,4,4,3,11,loyal_customer,3,6,Promissing
203,26025,0,77.17249261184804,3047.659498508901,4,4,4,12,champion,1,6,Promissing
204,26112,14,4.652224314999881,33.968797010729936,4,2,1,7,need_attention,4,6,Promissing
205,26507,325,1.8253879566454878,1.5894035045093236,1,1,1,3,almost_lost,0,0,Hibernating
206,26595,1,30.27869501795042,1723.6116682882887,4,4,4,12,champion,1,6,Promissing
207,26832,13,10.623343758579928,160.8345107990108,4,3,2,9,promising,5,6,Promissing
208,27132,220,8.297152628814043,438.8270084557076,1,2,3,6,need_attention,4,4,Need Attention
209,27135,73,9.41651300533393,114.92407002246564,2,3,2,7,need_attention,4,1,At-Risk Customers
210,27314,0,1124.9329030064812,53381.223598800025,4,4,4,12,champion,1,2,Loyal Customers
211,27398,13,9.573264567496942,209.43705646298497,4,3,2,9,promising,5,6,Promissing
212,27409,18,24.462909283342476,1619.7903677470867,3,4,4,11,loyal_customer,3,6,Promissing
213,27464,99,6.624187401477938,60.985295643181146,2,2,2,6,need_attention,4,1,At-Risk Customers
214,27469,324,0.9150697704635711,0.08548911339104978,1,1,1,3,almost_lost,0,0,Hibernating
215,27507,0,90.3779788289393,3826.723955554037,4,4,4,12,champion,1,6,Promissing
216,27861,36,13.396394059319933,324.89010566747965,3,3,3,9,promising,5,6,Promissing
217,28010,3,7.724947964773614,322.212575991264,4,2,3,9,promising,5,6,Promissing
218,28013,2,84.12218695839762,2391.0627196464898,4,4,4,12,champion,1,6,Promissing
219,28291,93,8.674934202641376,387.6942931259462,2,2,3,7,need_attention,4,1,At-Risk Customers
220,28419,11,23.79616255089135,415.82772507523913,4,4,3,11,loyal_customer,3,6,Promissing
221,28477,32,46.70355312082364,1781.396593596408,3,4,4,11,loyal_customer,3,6,Promissing
222,28848,41,17.101187199718527,657.9485982489091,3,3,3,9,promising,5,6,Promissing
223,28865,3,15.116356264320675,447.89472654422775,4,3,3,10,loyal_customer,3,6,Promissing
224,28974,8,27.49214612476302,714.0353134683933,4,4,3,11,loyal_customer,3,6,Promissing
225,29407,93,10.552313489137422,132.90861327537183,2,3,2,7,need_attention,4,1,At-Risk Customers
226,29450,6,3.7873212330906614,18.338691786546754,4,1,1,6,need_attention,4,6,Promissing
227,29644,1,23.809044697458667,560.7093051192006,4,4,3,11,loyal_customer,3,6,Promissing
228,29649,206,0.9451320500665662,11.743586095346878,1,1,1,3,almost_lost,0,4,Need Attention
229,29713,26,17.74631807702201,1768.9377417666149,3,3,4,10,loyal_customer,3,6,Promissing
230,29717,185,2.8346591613887524,58.17437752466877,2,1,2,5,hibernating,2,4,Need Attention
231,29727,105,6.702819496918327,186.4941639262379,2,2,2,6,need_attention,4,1,At-Risk Customers
232,29769,34,14.051359326944258,159.24063401530663,3,3,2,8,promising,5,6,Promissing
233,29854,63,7.531807862714533,75.64542168539327,3,2,2,7,need_attention,4,1,At-Risk Customers
234,29872,13,29.816348468735175,318.58461735506177,4,4,3,11,loyal_customer,3,6,Promissing
235,29950,2,63.03553077375028,1333.5938780845904,4,4,4,12,champion,1,6,Promissing
236,29983,10,26.207893980812102,400.6322933866869,4,4,3,11,loyal_customer,3,6,Promissing
237,30011,192,4.68827388474191,8.98980776467674,2,2,1,5,hibernating,2,4,Need Attention
238,30078,2,5.730779004102784,120.67560158017241,4,2,2,8,promising,5,6,Promissing
239,30096,22,38.53934067840006,2409.8501601407115,3,4,4,11,loyal_customer,3,6,Promissing
240,30117,21,13.321429002595998,869.6361722161666,3,3,3,9,promising,5,6,Promissing
241,30122,73,7.678133505761592,252.0922683272542,2,2,3,7,need_attention,4,1,At-Risk Customers
242,30149,115,2.88439835520938,6.2845892287536715,2,1,1,4,hibernating,2,1,At-Risk Customers
243,30164,201,3.722012005180583,37.93380509634208,1,1,1,3,almost_lost,0,4,Need Attention
244,30184,31,20.04664347495104,748.1190130268859,3,3,3,9,promising,5,6,Promissing
245,30205,93,14.984408555489566,2041.0718126734162,2,3,4,9,promising,5,1,At-Risk Customers
246,30330,47,5.628725687552724,466.1653152806832,3,2,3,8,promising,5,1,At-Risk Customers
247,30335,0,83.8719974455094,2061.6834104389777,4,4,4,12,champion,1,6,Promissing
248,30338,193,1.8777193098286724,2.015074924335312,2,1,1,4,hibernating,2,4,Need Attention
249,30451,15,9.708025511677334,317.82878670057283,4,3,3,10,loyal_customer,3,6,Promissing
250,30461,0,410.7764367051806,16101.845903864434,4,4,4,12,champion,1,5,Promissing
251,30468,185,11.194335176774198,353.30705914250376,2,3,3,8,promising,5,4,Need Attention
252,30476,6,123.29862323592866,4181.721380619636,4,4,4,12,champion,1,6,Promissing
253,30567,300,1.8324231023583928,0.2051860247496281,1,1,1,3,almost_lost,0,0,Hibernating
254,30623,0,40.947399866479884,2256.189660161966,4,4,4,12,champion,1,6,Promissing
255,30651,2,23.24292623813154,595.9388580370894,4,4,3,11,loyal_customer,3,6,Promissing
256,30772,2,151.21971175748334,7005.288119598721,4,4,4,12,champion,1,6,Promissing
257,30874,0,371.2665522848127,19492.864853829353,4,4,4,12,champion,1,5,Promissing
258,30997,11,17.298174379678493,499.3945584638743,4,3,3,10,loyal_customer,3,6,Promissing
259,31059,0,155.329179662317,6035.426254095015,4,4,4,12,champion,1,6,Promissing
260,31125,254,5.480406677592348,211.95777956547892,1,2,2,5,hibernating,2,0,Hibernating
261,31145,76,7.6917635962314295,72.07619683812888,2,2,2,6,need_attention,4,1,At-Risk Customers
262,31280,121,16.76356314914975,332.6028933261284,2,3,3,8,promising,5,1,At-Risk Customers
263,31292,188,17.598923216376992,448.8417782097403,2,3,3,8,promising,5,4,Need Attention
264,31313,29,42.5079896919998,1515.1523353576254,3,4,4,11,loyal_customer,3,6,Promissing
265,31319,191,3.7350622182819886,186.473611876681,2,1,2,5,hibernating,2,4,Need Attention
266,31485,0,5.840955956998428,90.50097654326828,4,2,2,8,promising,5,6,Promissing
267,31598,0,73.12058791804624,2693.457827578825,4,4,4,12,champion,1,6,Promissing
268,31640,11,56.2494841398652,869.3619526633852,4,4,3,11,loyal_customer,3,6,Promissing
269,31675,5,80.75043064849547,3150.912320214853,4,4,4,12,champion,1,6,Promissing
270,31812,24,15.024397774722605,257.91105426025945,3,3,3,9,promising,5,6,Promissing
271,31928,73,10.290311238521026,82.54365202811745,2,3,2,7,need_attention,4,1,At-Risk Customers
272,31939,213,1.8494114642786315,106.76691080878763,1,1,2,4,hibernating,2,4,Need Attention
273,32250,74,3.831253350826565,2.5896489088419155,2,1,1,4,hibernating,2,1,At-Risk Customers
274,32265,6,11.423531751104004,77.46885093195982,4,3,2,9,promising,5,6,Promissing
275,32267,17,141.89063353408537,3703.4741869836225,3,4,4,11,loyal_customer,3,6,Promissing
276,32325,0,66.73903559631806,2004.041192335417,4,4,4,12,champion,1,6,Promissing
277,32383,1,4.796007666893733,172.8738824249897,4,2,2,8,promising,5,6,Promissing
278,32484,50,8.716771135440744,167.6797661160242,3,2,2,7,need_attention,4,1,At-Risk Customers
279,32563,248,2.763457499301805,1860.1156166605365,1,1,4,6,need_attention,4,0,Hibernating
280,32600,185,15.71536124913871,2461.885242801923,2,3,4,9,promising,5,4,Need Attention
281,33050,144,4.664154197037458,25.49806577100619,2,2,1,5,hibernating,2,4,Need Attention
282,33121,113,4.7294304893282595,21.239413914872195,2,2,1,5,hibernating,2,1,At-Risk Customers
283,33198,20,45.43539704035656,779.7228177665324,3,4,3,10,loyal_customer,3,6,Promissing
284,33204,0,967.6385722322825,45976.130689146674,4,4,4,12,champion,1,2,Loyal Customers
285,33480,64,2.8665630286263286,22.997018436735775,3,1,1,5,hibernating,2,1,At-Risk Customers
286,33529,242,4.617152705358564,24.06004142321511,1,1,1,3,almost_lost,0,0,Hibernating
287,33530,66,6.550538476127631,26.273887132011353,3,2,1,6,need_attention,4,1,At-Risk Customers
288,33637,2,4.7725442034435845,192.4228469461865,4,2,2,8,promising,5,6,Promissing
289,33688,2,101.09262275567923,4072.953150096141,4,4,4,12,champion,1,6,Promissing
290,33722,15,42.028680949111155,2251.6847562160992,4,4,4,12,champion,1,6,Promissing
291,33730,19,40.89307921236094,1029.8096190804608,3,4,4,11,loyal_customer,3,6,Promissing
292,33757,36,13.37394641172763,314.0800755883187,3,3,3,9,promising,5,6,Promissing
293,34141,191,3.7211543909524947,10.348455568877386,2,1,1,4,hibernating,2,4,Need Attention
294,34192,92,2.870932798718393,14.807390214761334,2,1,1,4,hibernating,2,1,At-Risk Customers
295,34240,35,17.43549991435154,83.48139044897721,3,3,2,8,promising,5,6,Promissing
296,34337,0,256.03444841060025,12090.572947351693,4,4,4,12,champion,1,5,Promissing
297,34402,86,5.642874480130599,88.83196512789178,2,2,2,6,need_attention,4,1,At-Risk Customers
298,34447,0,225.6586397421942,9657.630559693653,4,4,4,12,champion,1,5,Promissing
299,34568,15,24.281001087143338,761.5810012327131,4,4,3,11,loyal_customer,3,6,Promissing
300,34842,19,22.013716639858192,100.93888910770889,3,4,2,9,promising,5,6,Promissing
301,34849,9,65.05133598511836,2076.0845144448667,4,4,4,12,champion,1,6,Promissing
